[2025-07-20T22:12:17.917+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: etl_data_pipeline.transform_car_makes manual__2025-07-20T22:12:15.055673+00:00 [queued]>
[2025-07-20T22:12:17.929+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: etl_data_pipeline.transform_car_makes manual__2025-07-20T22:12:15.055673+00:00 [queued]>
[2025-07-20T22:12:17.929+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 1
[2025-07-20T22:12:17.943+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): transform_car_makes> on 2025-07-20 22:12:15.055673+00:00
[2025-07-20T22:12:17.949+0000] {standard_task_runner.py:60} INFO - Started process 236 to run task
[2025-07-20T22:12:17.952+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'etl_data_pipeline', 'transform_car_makes', 'manual__2025-07-20T22:12:15.055673+00:00', '--job-id', '11', '--raw', '--subdir', 'DAGS_FOLDER/pipeline.py', '--cfg-path', '/tmp/tmp1pmwapzk']
[2025-07-20T22:12:17.954+0000] {standard_task_runner.py:88} INFO - Job 11: Subtask transform_car_makes
[2025-07-20T22:12:18.008+0000] {task_command.py:423} INFO - Running <TaskInstance: etl_data_pipeline.transform_car_makes manual__2025-07-20T22:12:15.055673+00:00 [running]> on host f43ce628c5ca
[2025-07-20T22:12:18.115+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='etl_data_pipeline' AIRFLOW_CTX_TASK_ID='transform_car_makes' AIRFLOW_CTX_EXECUTION_DATE='2025-07-20T22:12:15.055673+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-07-20T22:12:15.055673+00:00'
[2025-07-20T22:12:18.133+0000] {pipeline.py:35} INFO - Successfully connected to MongoDB at mongodb:27017
[2025-07-20T22:12:18.136+0000] {pipeline.py:247} WARNING - Error processing car make record {'MakeId': 440, 'MakeName': 'ASTON MARTIN', 'VehicleTypeId': 2, 'VehicleTypeName': 'Passenger Car'}: int() argument must be a string, a bytes-like object or a real number, not 'NoneType'
[2025-07-20T22:12:18.137+0000] {pipeline.py:247} WARNING - Error processing car make record {'MakeId': 441, 'MakeName': 'TESLA', 'VehicleTypeId': 2, 'VehicleTypeName': 'Passenger Car'}: int() argument must be a string, a bytes-like object or a real number, not 'NoneType'
[2025-07-20T22:12:18.138+0000] {pipeline.py:247} WARNING - Error processing car make record {'MakeId': 442, 'MakeName': 'JAGUAR', 'VehicleTypeId': 2, 'VehicleTypeName': 'Passenger Car'}: int() argument must be a string, a bytes-like object or a real number, not 'NoneType'
[2025-07-20T22:12:18.138+0000] {pipeline.py:247} WARNING - Error processing car make record {'MakeId': 443, 'MakeName': 'MASERATI', 'VehicleTypeId': 2, 'VehicleTypeName': 'Passenger Car'}: int() argument must be a string, a bytes-like object or a real number, not 'NoneType'
[2025-07-20T22:12:18.139+0000] {pipeline.py:247} WARNING - Error processing car make record {'MakeId': 445, 'MakeName': 'ROLLS-ROYCE', 'VehicleTypeId': 2, 'VehicleTypeName': 'Passenger Car'}: int() argument must be a string, a bytes-like object or a real number, not 'NoneType'
[2025-07-20T22:12:18.139+0000] {pipeline.py:247} WARNING - Error processing car make record {'MakeId': 448, 'MakeName': 'TOYOTA', 'VehicleTypeId': 2, 'VehicleTypeName': 'Passenger Car'}: int() argument must be a string, a bytes-like object or a real number, not 'NoneType'
[2025-07-20T22:12:18.140+0000] {pipeline.py:247} WARNING - Error processing car make record {'MakeId': 449, 'MakeName': 'MERCEDES-BENZ', 'VehicleTypeId': 2, 'VehicleTypeName': 'Passenger Car'}: int() argument must be a string, a bytes-like object or a real number, not 'NoneType'
[2025-07-20T22:12:18.140+0000] {pipeline.py:247} WARNING - Error processing car make record {'MakeId': 452, 'MakeName': 'BMW', 'VehicleTypeId': 2, 'VehicleTypeName': 'Passenger Car'}: int() argument must be a string, a bytes-like object or a real number, not 'NoneType'
[2025-07-20T22:12:18.141+0000] {pipeline.py:247} WARNING - Error processing car make record {'MakeId': 454, 'MakeName': 'BUGATTI', 'VehicleTypeId': 2, 'VehicleTypeName': 'Passenger Car'}: int() argument must be a string, a bytes-like object or a real number, not 'NoneType'
[2025-07-20T22:12:18.142+0000] {pipeline.py:247} WARNING - Error processing car make record {'MakeId': 456, 'MakeName': 'MINI', 'VehicleTypeId': 2, 'VehicleTypeName': 'Passenger Car'}: int() argument must be a string, a bytes-like object or a real number, not 'NoneType'
[2025-07-20T22:12:18.142+0000] {pipeline.py:247} WARNING - Error processing car make record {'MakeId': 460, 'MakeName': 'FORD', 'VehicleTypeId': 2, 'VehicleTypeName': 'Passenger Car'}: int() argument must be a string, a bytes-like object or a real number, not 'NoneType'
