[2025-07-22T06:44:32.589+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: etl_data_pipeline.transform_car_makes manual__2025-07-22T06:44:30.048850+00:00 [queued]>
[2025-07-22T06:44:32.600+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: etl_data_pipeline.transform_car_makes manual__2025-07-22T06:44:30.048850+00:00 [queued]>
[2025-07-22T06:44:32.601+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 1
[2025-07-22T06:44:32.619+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): transform_car_makes> on 2025-07-22 06:44:30.048850+00:00
[2025-07-22T06:44:32.627+0000] {standard_task_runner.py:60} INFO - Started process 277 to run task
[2025-07-22T06:44:32.630+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'etl_data_pipeline', 'transform_car_makes', 'manual__2025-07-22T06:44:30.048850+00:00', '--job-id', '19', '--raw', '--subdir', 'DAGS_FOLDER/pipeline.py', '--cfg-path', '/tmp/tmpdqyjvgo_']
[2025-07-22T06:44:32.632+0000] {standard_task_runner.py:88} INFO - Job 19: Subtask transform_car_makes
[2025-07-22T06:44:32.683+0000] {task_command.py:423} INFO - Running <TaskInstance: etl_data_pipeline.transform_car_makes manual__2025-07-22T06:44:30.048850+00:00 [running]> on host 85468ae3d510
[2025-07-22T06:44:32.784+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='etl_data_pipeline' AIRFLOW_CTX_TASK_ID='transform_car_makes' AIRFLOW_CTX_EXECUTION_DATE='2025-07-22T06:44:30.048850+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-07-22T06:44:30.048850+00:00'
[2025-07-22T06:44:32.804+0000] {pipeline.py:36} INFO - Successfully connected to MongoDB at mongodb:27017
[2025-07-22T06:44:32.807+0000] {pipeline.py:253} WARNING - Error processing car make record {'MakeId': 440, 'MakeName': 'ASTON MARTIN', 'VehicleTypeId': 2, 'VehicleTypeName': 'Passenger Car'}: int() argument must be a string, a bytes-like object or a real number, not 'NoneType'
[2025-07-22T06:44:32.809+0000] {pipeline.py:253} WARNING - Error processing car make record {'MakeId': 441, 'MakeName': 'TESLA', 'VehicleTypeId': 2, 'VehicleTypeName': 'Passenger Car'}: int() argument must be a string, a bytes-like object or a real number, not 'NoneType'
[2025-07-22T06:44:32.809+0000] {pipeline.py:253} WARNING - Error processing car make record {'MakeId': 442, 'MakeName': 'JAGUAR', 'VehicleTypeId': 2, 'VehicleTypeName': 'Passenger Car'}: int() argument must be a string, a bytes-like object or a real number, not 'NoneType'
[2025-07-22T06:44:32.810+0000] {pipeline.py:253} WARNING - Error processing car make record {'MakeId': 443, 'MakeName': 'MASERATI', 'VehicleTypeId': 2, 'VehicleTypeName': 'Passenger Car'}: int() argument must be a string, a bytes-like object or a real number, not 'NoneType'
[2025-07-22T06:44:32.811+0000] {pipeline.py:253} WARNING - Error processing car make record {'MakeId': 445, 'MakeName': 'ROLLS-ROYCE', 'VehicleTypeId': 2, 'VehicleTypeName': 'Passenger Car'}: int() argument must be a string, a bytes-like object or a real number, not 'NoneType'
[2025-07-22T06:44:32.811+0000] {pipeline.py:253} WARNING - Error processing car make record {'MakeId': 448, 'MakeName': 'TOYOTA', 'VehicleTypeId': 2, 'VehicleTypeName': 'Passenger Car'}: int() argument must be a string, a bytes-like object or a real number, not 'NoneType'
[2025-07-22T06:44:32.811+0000] {pipeline.py:253} WARNING - Error processing car make record {'MakeId': 449, 'MakeName': 'MERCEDES-BENZ', 'VehicleTypeId': 2, 'VehicleTypeName': 'Passenger Car'}: int() argument must be a string, a bytes-like object or a real number, not 'NoneType'
[2025-07-22T06:44:32.812+0000] {pipeline.py:253} WARNING - Error processing car make record {'MakeId': 452, 'MakeName': 'BMW', 'VehicleTypeId': 2, 'VehicleTypeName': 'Passenger Car'}: int() argument must be a string, a bytes-like object or a real number, not 'NoneType'
[2025-07-22T06:44:32.812+0000] {pipeline.py:253} WARNING - Error processing car make record {'MakeId': 454, 'MakeName': 'BUGATTI', 'VehicleTypeId': 2, 'VehicleTypeName': 'Passenger Car'}: int() argument must be a string, a bytes-like object or a real number, not 'NoneType'
[2025-07-22T06:44:32.813+0000] {pipeline.py:253} WARNING - Error processing car make record {'MakeId': 456, 'MakeName': 'MINI', 'VehicleTypeId': 2, 'VehicleTypeName': 'Passenger Car'}: int() argument must be a string, a bytes-like object or a real number, not 'NoneType'
[2025-07-22T06:44:32.813+0000] {pipeline.py:253} WARNING - Error processing car make record {'MakeId': 460, 'MakeName': 'FORD', 'VehicleTypeId': 2, 'VehicleTypeName': 'Passenger Car'}: int() argument must be a string, a bytes-like object or a real number, not 'NoneType'
